,X,Y,dX,dY
1,0,1953.95,NA,NA
2,2,1908.99,2,-44.96
3,26,1975.83,24,66.84
4,63,1924.03,37,-51.8
5,18,1901.09,-45,-22.94
6,99,1800.61,81,-100.48
7,144,1891.82,45,91.21
8,211,1820.86,67,-70.96
9,64,1676.61,-147,-144.25
10,538,1785,474,108.39
11,612,1689.15,74,-95.85
12,798,1807.84,186,118.69
13,661,1830,-137,22.16
14,2042,1880.93,1381,50.93
15,2803,1846.09,761,-34.84
16,5118,1902.83,2315,56.74
17,7600,1940.1,2482,37.27
18,10063,1885.84,2463,-54.26
19,16979,1955.49,6916,69.65
20,23990,1900.1,7011,-55.39
21,19662,1963.95,-4328,63.85
22,23751,1949.72,4089,-14.23
23,21915,1907.7,-1836,-42.02
24,28444,1918.83,6529,11.13
25,28751,1906.59,307,-12.24
26,28222,1997.59,-529,91
27,29595,2011.6,1373,14.01
28,29556,2043,-39,31.4
29,32829,2042.76,3273,-0.24
30,28917,2168.87,-3912,126.11
31,25306,2283.32,-3611,114.45
32,27051,2307.68,1745,24.36
33,28680,2408.19,1629,100.51
34,31451,2375,2771,-33.19
35,26889,2393.61,-4562,18.61
36,25240,2328.12,-1649,-65.49
37,39460,2363.49,14220,35.37
38,15889,2399.45,-23571,35.96
39,29495,2410.22,13606,10.77
40,27631,2376,-1864,-34.22
41,22412,2314.08,-5219,-61.92
42,24385,2372.71,1973,58.63
43,27327,2474,2942,101.29
44,29515,2286.04,2188,-187.96
45,30326,2315.99,811,29.95
46,22335,2317.8,-7991,1.81
47,23976,2351.26,1641,33.46
48,24252,2367.61,276,16.35
49,28420,2379.61,4168,12
50,19710,2409,-8710,29.39
51,18621,2356.95,-1089,-52.05
52,21495,2367.92,2874,10.97
53,21030,2388.85,-465,20.93
54,27368,2409.78,6338,20.93
55,18937,2426.26,-8431,16.48
56,21551,2449.33,2614,23.07
57,20260,2497.94,-1291,48.61
58,23285,2446.74,3025,-51.2
59,25294,2436.88,2009,-9.86
